,zip,state_x,total,below40,i40_45,i45_50,plus50,s_black,s_hispanic,s_asian,s_unknown,s_other,s_nativeAmerican,s_female,s_male,plus50sum,plus50count,state_y,ratio,ratio_err,std3,r_minus_3std,ratio_minus_std,ratio_rank,rmstd_rank,trunc_zip,new_zip
0,0,OH,3,0,0,0,3,1,1,1,2,0,0,0,1,,,,,,,,,,,,
1,3901,ME,15,0,2,5,8,2,4,5,1,0,0,6,8,31.0,45.0,ME,0.6888888888888889,0.06901223525245698,0.20703670575737093,0.48185218313151795,0.619876653636432,107.0,99.0,3901,<generator object <genexpr> at 0x7f6fbe722a50>
2,3902,ME,2,0,0,1,1,0,0,1,0,0,0,1,1,5.0,7.0,ME,0.7142857142857143,0.17074694419062766,0.512240832571883,0.20204488171383128,0.5435387700950867,,,3902,<generator object <genexpr> at 0x7f6fbe722a50>
3,3903,ME,9,1,1,2,5,0,4,5,1,0,0,4,4,27.0,30.0,ME,0.9,0.0547722557505166,0.1643167672515498,0.7356832327484502,0.8452277442494834,43.5,42.0,3903,<generator object <genexpr> at 0x7f6fbe722a50>
4,3904,ME,10,0,0,1,9,1,4,2,0,0,0,4,6,22.0,24.0,ME,0.9166666666666666,0.05641693336552753,0.16925080009658258,0.7474158665700841,0.8602497333011391,36.0,39.0,3904,<generator object <genexpr> at 0x7f6fbe722a50>
5,3905,ME,1,0,0,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,
6,3906,ME,8,1,1,2,4,0,3,2,1,0,0,3,4,23.0,28.0,ME,0.8214285714285714,0.07237888244444445,0.21713664733333332,0.604291924095238,0.7490496889841269,74.5,74.5,3906,<generator object <genexpr> at 0x7f6fbe722a50>
7,3908,ME,10,0,0,0,10,1,4,3,1,0,0,7,2,31.0,41.0,ME,0.7560975609756098,0.06706641034558605,0.20119923103675816,0.5548983299388516,0.6890311506300237,95.5,88.5,3908,<generator object <genexpr> at 0x7f6fbe722a50>
8,3909,ME,7,1,0,1,5,0,3,4,0,0,0,4,3,30.0,32.0,ME,0.9375,0.0427908248050911,0.1283724744152733,0.8091275255847267,0.8947091751949089,22.5,28.0,3909,<generator object <genexpr> at 0x7f6fbe722a50>
9,3910,ME,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,
10,4001,ME,1,0,0,1,0,0,1,0,0,0,0,0,1,3.0,5.0,ME,0.6,0.21908902300206645,0.6572670690061994,-0.05726706900619938,0.3809109769979335,,,4001,<generator object <genexpr> at 0x7f6fbe722a50>
11,4002,ME,3,0,0,1,2,0,2,0,1,0,0,0,2,17.0,20.0,ME,0.85,0.07984359711335658,0.23953079134006972,0.6104692086599303,0.7701564028866434,63.0,69.0,4002,<generator object <genexpr> at 0x7f6fbe722a50>
12,4005,ME,52,1,2,3,46,5,21,8,7,0,0,26,19,205.0,229.0,ME,0.8951965065502183,0.020240877098651675,0.060722631295955024,0.8344738752542633,0.8749556294515667,45.0,36.0,4005,<generator object <genexpr> at 0x7f6fbe722a50>
13,4008,ME,5,0,1,0,4,0,4,0,1,0,0,3,1,4.0,8.0,ME,0.5,0.1767766952966369,0.5303300858899107,-0.030330085889910707,0.32322330470336313,,,4008,<generator object <genexpr> at 0x7f6fbe722a50>
14,4009,ME,3,0,0,1,2,0,2,1,0,0,0,2,1,13.0,17.0,ME,0.7647058823529411,0.10287936849355367,0.308638105480661,0.4560677768722801,0.6618265138593875,94.0,94.0,4009,<generator object <genexpr> at 0x7f6fbe722a50>
15,4011,ME,46,2,2,2,40,7,21,4,5,0,0,23,18,365.0,378.0,ME,0.9656084656084656,0.00937303866661434,0.02811911599984302,0.9374893496086225,0.9562354269418513,8.0,6.0,4011,<generator object <genexpr> at 0x7f6fbe722a50>
16,4014,ME,1,0,0,0,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,
17,4020,ME,1,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,
18,4021,ME,3,0,0,0,3,0,2,0,0,0,0,1,2,21.0,29.0,ME,0.7241379310344828,0.08299609211231936,0.24898827633695808,0.4751496546975247,0.6411418389221634,100.0,97.0,4021,<generator object <genexpr> at 0x7f6fbe722a50>
19,4027,ME,5,0,1,1,3,1,3,0,0,0,0,1,4,8.0,11.0,ME,0.7272727272727273,0.13428162652290843,0.4028448795687253,0.324427847704002,0.5929911007498189,98.5,105.5,4027,<generator object <genexpr> at 0x7f6fbe722a50>
20,4032,ME,23,1,0,4,18,2,2,15,3,0,0,12,8,84.0,100.0,ME,0.84,0.03666060555964673,0.10998181667894019,0.7300181833210597,0.8033393944403533,68.0,62.0,4032,<generator object <genexpr> at 0x7f6fbe722a50>
21,4037,ME,1,0,0,0,1,0,0,1,0,0,0,1,0,9.0,12.0,ME,0.75,0.125,0.375,0.375,0.625,97.0,98.0,4037,<generator object <genexpr> at 0x7f6fbe722a50>
22,4038,ME,24,1,1,3,19,4,3,10,5,0,0,7,12,155.0,166.0,ME,0.9337349397590361,0.019306344863835766,0.057919034591507296,0.8758159051675288,0.9144285948952003,24.0,22.0,4038,<generator object <genexpr> at 0x7f6fbe722a50>
23,4039,ME,4,0,0,2,2,0,1,0,0,0,0,0,4,19.0,24.0,ME,0.7916666666666666,0.08289816934939807,0.2486945080481942,0.5429721586184724,0.7087684973172685,87.0,84.0,4039,<generator object <genexpr> at 0x7f6fbe722a50>
24,4040,ME,1,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,ME,1.0,0.0,0.0,1.0,1.0,,,4040,<generator object <genexpr> at 0x7f6fbe722a50>
25,4041,ME,2,0,0,0,2,1,0,0,1,0,0,1,0,1.0,1.0,ME,1.0,0.0,0.0,1.0,1.0,,,4041,<generator object <genexpr> at 0x7f6fbe722a50>
26,4043,ME,6,0,1,0,5,0,4,0,1,0,1,2,3,14.0,22.0,ME,0.6363636363636364,0.10255928633050294,0.30767785899150885,0.3286857773721275,0.5338043500331334,109.0,109.0,4043,<generator object <genexpr> at 0x7f6fbe722a50>
27,4046,ME,24,1,1,3,19,8,3,9,2,0,0,13,9,34.0,38.0,ME,0.8947368421052632,0.049784489627732485,0.14935346888319745,0.7453833732220657,0.8449523524775306,46.5,43.0,4046,<generator object <genexpr> at 0x7f6fbe722a50>
